test_id,initial_mass_g,sieve_order,sieve_opening_mm,fraction,retained_g
50A,50.18,0,2.0,2,0.09
50A,50.18,1,1.0,1,0.8
50A,50.18,2,0.5,0.5,6.09
50A,50.18,3,0.25,0.25,7.27
50A,50.18,4,0.125,0.125,10.44
50A,50.18,5,0.075,0.075,13.65
50A,50.18,6,,pan,11.42
50B,50.26,0,2.0,2,0.0
50B,50.26,1,1.0,1,0.77
50B,50.26,2,0.5,0.5,6.03
50B,50.26,3,0.25,0.25,7.36
50B,50.26,4,0.125,0.125,10.43
50B,50.26,5,0.075,0.075,14.51
50B,50.26,6,,pan,10.7
10A,10.12,0,2.0,2,0.01
10A,10.12,1,1.0,1,0.21
10A,10.12,2,0.5,0.5,1.23
10A,10.12,3,0.25,0.25,1.42
10A,10.12,4,0.125,0.125,2.02
10A,10.12,5,0.075,0.075,1.94
10A,10.12,6,,pan,3.2
10B,10.22,0,2.0,2,0.0
10B,10.22,1,1.0,1,0.14
10B,10.22,2,0.5,0.5,1.24
10B,10.22,3,0.25,0.25,1.51
10B,10.22,4,0.125,0.125,1.98
10B,10.22,5,0.075,0.075,2.03
10B,10.22,6,,pan,3.14
2A,2.15,0,2.0,2,0.0
2A,2.15,1,1.0,1,0.11
2A,2.15,2,0.5,0.5,0.32
2A,2.15,3,0.25,0.25,0.3
2A,2.15,4,0.125,0.125,0.43
2A,2.15,5,0.075,0.075,0.24
2A,2.15,6,,pan,0.63
2B,2.2,0,2.0,2,0.0
2B,2.2,1,1.0,1,0.04
2B,2.2,2,0.5,0.5,0.29
2B,2.2,3,0.25,0.25,0.35
2B,2.2,4,0.125,0.125,0.42
2B,2.2,5,0.075,0.075,0.43
2B,2.2,6,,pan,0.7
0.5A,0.55,0,2.0,2,0.0
0.5A,0.55,1,1.0,1,0.01
0.5A,0.55,2,0.5,0.5,0.05
0.5A,0.55,3,0.25,0.25,0.06
0.5A,0.55,4,0.125,0.125,0.11
0.5A,0.55,5,0.075,0.075,0.11
0.5A,0.55,6,,pan,0.19
0.5B,0.6,0,2.0,2,0.0
0.5B,0.6,1,1.0,1,0.02
0.5B,0.6,2,0.5,0.5,0.06
0.5B,0.6,3,0.25,0.25,0.08
0.5B,0.6,4,0.125,0.125,0.1
0.5B,0.6,5,0.075,0.075,0.09
0.5B,0.6,6,,pan,0.16
