test_id,wet_mass_g,t_min,H,T_C
50A,52.127,1,16.0,21.5
50A,52.127,2,15.0,21.5
50A,52.127,4,11.5,21.5
50A,52.127,8,10.5,21.0
50A,52.127,15,9.5,21.0
50A,52.127,30,8.5,21.0
50A,52.127,60,8.2,21.0
50A,52.127,240,8.0,21.0
50A,52.127,1440,7.0,21.0
50B,52.005,1,16.5,21.0
50B,52.005,2,15.5,21.0
50B,52.005,4,12.0,21.0
50B,52.005,8,10.5,21.0
50B,52.005,15,9.5,21.0
50B,52.005,30,8.4,21.0
50B,52.005,60,8.2,21.0
50B,52.005,240,8.0,21.0
50B,52.005,1440,7.5,21.0
10A,10.911,1,7.5,21.5
10A,10.911,2,7.0,21.5
10A,10.911,4,6.2,21.5
10A,10.911,8,5.5,21.5
10A,10.911,15,5.2,21.0
10A,10.911,30,5.2,21.0
10A,10.911,60,5.1,21.0
10A,10.911,240,5.1,21.0
10A,10.911,1440,4.5,21.0
10B,10.423,1,7.2,21.0
10B,10.423,2,6.5,21.0
10B,10.423,4,6.1,21.0
10B,10.423,8,5.5,21.0
10B,10.423,15,5.3,21.0
10B,10.423,30,5.2,21.0
10B,10.423,60,5.1,21.0
10B,10.423,240,5.0,21.0
10B,10.423,1440,4.5,21.0
2A,2.083,1,5.5,21
2A,2.083,2,5.4,21
2A,2.083,4,5.0,21
2A,2.083,8,4.9,21
2A,2.083,15,4.5,21
2A,2.083,30,4.2,21
2A,2.083,60,4.2,21
2A,2.083,240,4.2,21
2A,2.083,1440,4.2,21
2B,2.081,1,5.2,21
2B,2.081,2,5.1,21
2B,2.081,4,4.8,21
2B,2.081,8,4.7,21
2B,2.081,15,4.5,21
2B,2.081,30,4.5,21
2B,2.081,60,4.3,21
2B,2.081,240,4.4,21
2B,2.081,1440,4.3,21
0.5A,0.521,1,4.6,21
0.5A,0.521,2,4.5,21
0.5A,0.521,4,4.4,21
0.5A,0.521,8,4.4,21
0.5A,0.521,15,4.4,21
0.5A,0.521,30,4.4,21
0.5A,0.521,60,4.3,21
0.5A,0.521,240,4.4,21
0.5A,0.521,1440,4.3,21
0.5B,0.528,1,4.5,21
0.5B,0.528,2,4.5,21
0.5B,0.528,4,4.4,21
0.5B,0.528,8,4.3,21
0.5B,0.528,15,4.3,21
0.5B,0.528,30,4.3,21
0.5B,0.528,60,4.2,21
0.5B,0.528,240,4.3,21
0.5B,0.528,1440,4.1,21
