test_id,initial_mass_g,sieve_order,sieve_opening_mm,fraction,retained_g
100W1,102.726,0,2.0,2,0.02
100W1,102.726,1,1.0,1,0.53
100W1,102.726,2,0.5,0.5,11.16
100W1,102.726,3,0.25,0.25,13.67
100W1,102.726,4,0.125,0.125,18.51
100W1,102.726,5,0.075,0.075,18.26
100W1,102.726,6,,pan,40.49
100W2,99.553,0,2.0,2,0.02
100W2,99.553,1,1.0,1,0.61
100W2,99.553,2,0.5,0.5,10.8
100W2,99.553,3,0.25,0.25,13.42
100W2,99.553,4,0.125,0.125,18.22
100W2,99.553,5,0.075,0.075,17.63
100W2,99.553,6,,pan,38.95
50W1,48.931,0,2.0,2,0.01
50W1,48.931,1,1.0,1,0.23
50W1,48.931,2,0.5,0.5,5.02
50W1,48.931,3,0.25,0.25,6.46
50W1,48.931,4,0.125,0.125,8.78
50W1,48.931,5,0.075,0.075,8.74
50W1,48.931,6,,pan,19.594
50W2,48.849,0,2.0,2,0.0
50W2,48.849,1,1.0,1,0.27
50W2,48.849,2,0.5,0.5,5.03
50W2,48.849,3,0.25,0.25,6.44
50W2,48.849,4,0.125,0.125,8.83
50W2,48.849,5,0.075,0.075,8.74
50W2,48.849,6,,pan,19.467
10W1,11.437,0,2.0,2,0.0
10W1,11.437,1,1.0,1,0.03
10W1,11.437,2,0.5,0.5,1.2
10W1,11.437,3,0.25,0.25,1.55
10W1,11.437,4,0.125,0.125,2.05
10W1,11.437,5,0.075,0.075,2.25
10W1,11.437,6,,pan,4.268
10W2,10.225,0,2.0,2,0.0
10W2,10.225,1,1.0,1,0.06
10W2,10.225,2,0.5,0.5,1.11
10W2,10.225,3,0.25,0.25,1.32
10W2,10.225,4,0.125,0.125,1.72
10W2,10.225,5,0.075,0.075,1.76
10W2,10.225,6,,pan,3.94
10W3,10.29,0,2.0,2,0.0
10W3,10.29,1,1.0,1,0.04
10W3,10.29,2,0.5,0.5,1.02
10W3,10.29,3,0.25,0.25,1.39
10W3,10.29,4,0.125,0.125,1.85
10W3,10.29,5,0.075,0.075,1.83
10W3,10.29,6,,pan,4.137
2W1,2.19,0,2.0,2,0.0
2W1,2.19,1,1.0,1,0.01
2W1,2.19,2,0.5,0.5,0.2
2W1,2.19,3,0.25,0.25,0.29
2W1,2.19,4,0.125,0.125,0.38
2W1,2.19,5,0.075,0.075,0.36
2W1,2.19,6,,pan,0.914
2W2,2.205,0,2.0,2,0.0
2W2,2.205,1,1.0,1,0.01
2W2,2.205,2,0.5,0.5,0.22
2W2,2.205,3,0.25,0.25,0.31
2W2,2.205,4,0.125,0.125,0.39
2W2,2.205,5,0.075,0.075,0.41
2W2,2.205,6,,pan,0.911
2W3,2.085,0,2.0,2,0.0
2W3,2.085,1,1.0,1,0.02
2W3,2.085,2,0.5,0.5,0.21
2W3,2.085,3,0.25,0.25,0.28
2W3,2.085,4,0.125,0.125,0.35
2W3,2.085,5,0.075,0.075,0.37
2W3,2.085,6,,pan,0.806
0.5W1,0.535,0,2.0,2,0.0
0.5W1,0.535,1,1.0,1,0.01
0.5W1,0.535,2,0.5,0.5,0.05
0.5W1,0.535,3,0.25,0.25,0.08
0.5W1,0.535,4,0.125,0.125,0.08
0.5W1,0.535,5,0.075,0.075,0.08
0.5W1,0.535,6,,pan,0.205
0.5W2,0.626,0,2.0,2,0.0
0.5W2,0.626,1,1.0,1,0.01
0.5W2,0.626,2,0.5,0.5,0.05
0.5W2,0.626,3,0.25,0.25,0.09
0.5W2,0.626,4,0.125,0.125,0.11
0.5W2,0.626,5,0.075,0.075,0.12
0.5W2,0.626,6,,pan,0.244
0.5W3,0.605,0,2.0,2,0.0
0.5W3,0.605,1,1.0,1,0.0
0.5W3,0.605,2,0.5,0.5,0.07
0.5W3,0.605,3,0.25,0.25,0.09
0.5W3,0.605,4,0.125,0.125,0.1
0.5W3,0.605,5,0.075,0.075,0.11
0.5W3,0.605,6,,pan,0.236
